from	to	amount
PRT	NZL	51494993
PRT	POL	1082805029
PRT	RUS	210427765
PRT	SAU	126540134
PRT	SVK	461094684
PRT	SVN	96915937
PRT	SWE	894267702
PRT	TUR	733462246
PRT	USA	4192148916
PRT	ZAF	259232356
SVK	ARG	71096917
SVK	AUS	324125936
SVK	AUT	5765196129
SVK	BEL	1277798870
SVK	BRA	170466309
SVK	CAN	338948730
SVK	CHE	1512753176
SVK	CHL	67750462
SVK	CHN	2669879845
SVK	CZE	12118098865
SVK	DEU	22740173919
SVK	DNK	792254959
SVK	ESP	2393890690
SVK	EST	153292163
SVK	FIN	332046826
SVK	FRA	6742171610
SVK	GBR	4128588360
SVK	GRC	322316688
SVK	HUN	7561335708
SVK	IDN	9063620
SVK	IND	164978749
SVK	IRL	219401309
SVK	ISL	29704962
SVK	ISR	304873835
SVK	ITA	4872041838
SVK	JPN	306789742
SVK	KOR	320268084
SVK	LUX	91927951
SVK	MEX	285019536
SVK	NLD	2115937480
SVK	NOR	246125130
SVK	NZL	61665520
SVK	POL	8700998252
SVK	PRT	293172611
SVK	RUS	1581813689
SVK	SAU	175603465
SVK	SVN	925511255
SVK	SWE	1436594459
SVK	TUR	928763126
SVK	USA	3306217274
SVK	ZAF	174613952
SVN	ARG	12318072
SVN	AUS	128044140
SVN	AUT	3048411371
SVN	BEL	503336794
SVN	BRA	72242557
SVN	CAN	152518283
SVN	CHE	6299282865
SVN	CHL	18798998
SVN	CHN	401951478
SVN	CZE	1004274975
SVN	DEU	8132853078
SVN	DNK	501882077
SVN	ESP	620021073
SVN	EST	56036862
SVN	FIN	128046539
SVN	FRA	1990445399
SVN	GBR	769988277
SVN	GRC	196855117
SVN	HUN	1253562714
SVN	IDN	12935436
SVN	IND	131027612
SVN	IRL	77544705
SVN	ISL	3633744
SVN	ISR	94713577
SVN	ITA	4963200650
SVN	JPN	94768368
SVN	KOR	76601528
SVN	LUX	20019169
SVN	MEX	102335890
SVN	NLD	907391194
SVN	NOR	104605947
SVN	NZL	15754769
SVN	POL	1365984462
SVN	PRT	150784414
SVN	RUS	1012274659
SVN	SAU	120069833
SVN	SVK	712242392
SVN	SWE	515196515
SVN	TUR	394104965
SVN	USA	879827246
SVN	ZAF	72642707
SWE	ARG	145102372
SWE	AUS	1533516614
SWE	AUT	1657660940
SWE	BEL	6840453258
SWE	BRA	1152543112
SWE	CAN	1183759986
SWE	CHE	1708846352
SWE	CHL	381580216
SWE	CHN	7835311213
SWE	CZE	1693524255
SWE	DEU	19440989413
SWE	DNK	14655981216
SWE	ESP	3658041742
SWE	EST	1537142565
SWE	FIN	13448627810
SWE	FRA	7624553543
SWE	GBR	10462570046
SWE	GRC	481433613
SWE	HUN	882355456
SWE	IDN	332239828
SWE	IND	1287656696
SWE	IRL	856283646
SWE	ISL	473769605
SWE	ISR	320124260
SWE	ITA	5479705075
SWE	JPN	2776854889
SWE	KOR	1687851307
SWE	LUX	123172293
SWE	MEX	747052629
SWE	NLD	9467362604
SWE	NOR	20225603744
SWE	NZL	192217946
SWE	POL	7237587847
SWE	PRT	935311354
SWE	RUS	2495357467
SWE	SAU	1193339609
SWE	SVK	505066666
SWE	SVN	246818555
SWE	TUR	1720879339
SWE	USA	15276047610
SWE	ZAF	782345023
TUR	ARG	237705636
TUR	AUS	970995796
TUR	AUT	1520151478
TUR	BEL	4899299653
TUR	BRA	1025368525
TUR	CAN	1687173392
TUR	CHE	1257499833
TUR	CHL	627321522
TUR	CHN	3662747787
TUR	CZE	1649028368
TUR	DEU	19311022742
TUR	DNK	1301101843
TUR	ESP	9619641951
TUR	EST	126296272
TUR	FIN	510126425
TUR	FRA	9123299095
TUR	GBR	13703694821
TUR	GRC	3118900193
TUR	HUN	1399015748
TUR	IDN	313043655
TUR	IND	1304819844
TUR	IRL	958669026
TUR	ISL	30430408
TUR	ISR	6355775033
TUR	ITA	11473020914
TUR	JPN	521772946
TUR	KOR	996232128
TUR	LUX	76927361
TUR	MEX	839835834
TUR	NLD	6764785944
TUR	NOR	937571173
TUR	NZL	128002954
TUR	POL	4673824799
TUR	PRT	1496766207
TUR	RUS	5774391900
TUR	SAU	265399542
TUR	SVK	663827547
TUR	SVN	1797076543
TUR	SWE	1688591795
TUR	USA	14721817410
TUR	ZAF	861262568
USA	ARG	7739467345
USA	AUS	26427478122
USA	AUT	3931733851
USA	BEL	33652837796
USA	BRA	46882040131
USA	CAN	306926753196
USA	CHE	23968897183
USA	CHL	17339990622
USA	CHN	151065177394
USA	CZE	3657433367
USA	DEU	64806424190
USA	DNK	3615910634
USA	ESP	16061643154
USA	EST	423879468
USA	FIN	1712035885
USA	FRA	30678290107
USA	GBR	61430610436
USA	GRC	1590991326
USA	HUN	2909687032
USA	IDN	9478654263
USA	IND	40130034962
USA	IRL	13553768347
USA	ISL	628874796
USA	ISR	12820355759
USA	ITA	21711409692
USA	JPN	74960699147
USA	KOR	65769493507
USA	LUX	1533315436
USA	MEX	276458852053
USA	NLD	53573847427
USA	NOR	3777791753
USA	NZL	3721715565
USA	POL	5895393774
USA	PRT	2318207322
USA	RUS	6388250933
USA	SAU	11138011050
USA	SVK	336042908
USA	SVN	243015732
USA	SWE	5139609030
USA	TUR	11894644760
USA	ZAF	5501251850
