from	to	amount
CHL	IDN	144045540
CHL	IND	1287935716
CHL	IRL	55823608
CHL	ISL	2210369
CHL	ISR	94675237
CHL	ITA	766757588
CHL	JPN	7238280999
CHL	KOR	4826182328
CHL	MEX	1390892391
CHL	NLD	1535226712
CHL	NOR	57275755
CHL	NZL	58978137
CHL	POL	116139888
CHL	PRT	37487341
CHL	RUS	616977935
CHL	SAU	114617404
CHL	SVN	3047588
CHL	SWE	143914367
CHL	TUR	301417431
CHL	USA	14932946858
CHL	ZAF	210133091
CZE	ARG	65548128
CZE	AUS	603082919
CZE	AUT	10114464987
CZE	BEL	4960361099
CZE	BRA	397949178
CZE	CAN	356966768
CZE	CHE	3322027560
CZE	CHL	111245289
CZE	CHN	2971074379
CZE	DEU	73122422011
CZE	DNK	2217789271
CZE	ESP	5685829779
CZE	EST	388629910
CZE	FIN	1181344051
CZE	FRA	10439744569
CZE	GBR	8753483736
CZE	GRC	589135615
CZE	HUN	7432082181
CZE	IDN	100496631
CZE	IND	877261375
CZE	IRL	1467085633
CZE	ISL	62702959
CZE	ISR	1047265240
CZE	ITA	8718726866
CZE	JPN	1432619025
CZE	KOR	553486928
CZE	LUX	341744566
CZE	MEX	769879426
CZE	NLD	8308056802
CZE	NOR	1063456977
CZE	NZL	122891511
CZE	POL	14987953723
CZE	PRT	788983487
CZE	RUS	4316440305
CZE	SAU	351888243
CZE	SVK	18120540781
CZE	SVN	1142326999
CZE	SWE	3810579767
CZE	TUR	2335670508
CZE	USA	5326297638
CZE	ZAF	581050448
DEU	ARG	2687686745
DEU	AUS	11797848491
DEU	AUT	81558611235
DEU	BEL	60508540025
DEU	BRA	12460793756
DEU	CAN	11990307602
DEU	CHE	73830633938
DEU	CHL	3223393439
DEU	CHN	123860201345
DEU	CZE	54672630291
DEU	DNK	24468867437
DEU	ESP	51940221972
DEU	EST	2619871750
DEU	FIN	14190322125
DEU	FRA	121125989145
DEU	GBR	77528319580
DEU	GRC	8413655616
DEU	HUN	33946294157
DEU	IDN	2951427666
DEU	IND	14782190119
DEU	IRL	9235499161
DEU	ISL	680246580
DEU	ISR	6427966892
DEU	ITA	88866758692
DEU	JPN	21789596123
DEU	KOR	22255815294
DEU	LUX	7773595707
DEU	MEX	15679414133
DEU	NLD	108895884134
DEU	NOR	11527246597
DEU	NZL	1878171205
DEU	POL	92391816463
DEU	PRT	11857984517
DEU	RUS	32191377681
DEU	SAU	6668821262
DEU	SVK	17991036108
DEU	SVN	7248414577
DEU	SWE	31484711442
DEU	TUR	25290379821
DEU	USA	144804163459
DEU	ZAF	9646566918
DNK	ARG	109184810
DNK	AUS	1005787761
DNK	AUT	769665561
DNK	BEL	1961727121
DNK	BRA	459762251
DNK	CAN	577457772
DNK	CHE	1100176623
DNK	CHL	164815957
DNK	CHN	4380591646
DNK	CZE	820823669
DNK	DEU	16161689113
DNK	ESP	1994937491
DNK	EST	350384701
DNK	FIN	2406434723
DNK	FRA	3710368300
DNK	GBR	6300678230
DNK	GRC	423157550
DNK	HUN	585739555
DNK	IDN	128285021
DNK	IND	580080129
DNK	IRL	780746495
DNK	ISL	746042350
DNK	ISR	233535730
DNK	ITA	2714040911
DNK	JPN	1504819256
DNK	KOR	836378411
DNK	LUX	94920895
DNK	MEX	403195915
DNK	NLD	5830457857
DNK	NOR	7199368522
DNK	NZL	176049445
DNK	POL	4164708120
DNK	PRT	346572513
DNK	RUS	972677279
DNK	SAU	454470002
DNK	SVK	310876482
DNK	SVN	132116567
DNK	SWE	11526395588
DNK	TUR	1098850866
DNK	USA	5923840610
DNK	ZAF	222686653
ESP	ARG	1080368969
ESP	AUS	1922537394
ESP	AUT	2886264490
ESP	BEL	16983829907
ESP	BRA	3064431669
ESP	CAN	2398416865
ESP	CHE	6789779276
ESP	CHL	2068420310
ESP	CHN	10259989716
ESP	CZE	3491028051
ESP	DEU	38352363307
ESP	DNK	2544874279
ESP	EST	316151269
ESP	FIN	1508891042
ESP	FRA	59699989734
ESP	GBR	21693646846
ESP	GRC	3113668113
ESP	HUN	2063088989
ESP	IDN	461524213
ESP	IND	1768417301
ESP	IRL	2413504751
ESP	ISL	91847077
ESP	ISR	2133793563
ESP	ITA	31425612051
ESP	JPN	3469806945
ESP	KOR	2288238850
ESP	LUX	440244987
ESP	MEX	4857194086
ESP	NLD	13522418586
ESP	NOR	1756374466
ESP	NZL	298953883
ESP	POL	8968647675
ESP	PRT	29377812787
ESP	RUS	2620880748
ESP	SAU	2255718722
ESP	SVK	1584902780
ESP	SVN	710295196
ESP	SWE	3470947192
ESP	TUR	6478294508
ESP	USA	17452606237
ESP	ZAF	1541819006
EST	ARG	12608482
EST	AUS	92451960
EST	AUT	101922910
EST	BEL	286752171
EST	BRA	43402080
EST	CAN	175923136
EST	CHE	236834392
EST	CHL	11502893
EST	CHN	240523339
EST	CZE	156056354
EST	DEU	1358797609
EST	DNK	690862411
EST	ESP	169422034
EST	FIN	3212690359
EST	FRA	431616459
EST	GBR	819136642
EST	GRC	48913203
EST	HUN	60845800
EST	IDN	6904755
EST	IND	120329647
EST	IRL	36389595
EST	ISL	53343011
EST	ISR	54019047
EST	ITA	250782743
EST	JPN	144317721
EST	KOR	62561692
EST	LUX	2059984
EST	MEX	36751820
EST	NLD	1327285751
EST	NOR	692585169
EST	NZL	10916334
EST	POL	654954617
EST	PRT	35713193
EST	RUS	1481484072
EST	SAU	111531299
EST	SVK	44001352
EST	SVN	31153711
EST	SWE	1993629446
EST	TUR	220930823
EST	USA	2081386862
EST	ZAF	12420843
FIN	ARG	109619563
FIN	AUS	808257918
FIN	AUT	582824414
FIN	BEL	2557894100
FIN	BRA	599581387
FIN	CAN	956764233
FIN	CHE	1428024803
FIN	CHL	252694080
FIN	CHN	4238180492
FIN	CZE	507943351
FIN	DEU	10735402960
FIN	DNK	1449519486
FIN	ESP	1187699822
FIN	EST	2813095594
FIN	FRA	2434433599
FIN	GBR	2974546959
FIN	GRC	205357586
FIN	HUN	261602682
FIN	IDN	271677987
FIN	IND	636074770
FIN	IRL	821436741
FIN	ISL	58102703
FIN	ISR	227144692
FIN	ITA	3407700049
FIN	JPN	1431158309
FIN	KOR	792976173
FIN	LUX	42172418
FIN	MEX	384516316
FIN	NLD	4955174191
FIN	NOR	2043631208
FIN	NZL	88705106
FIN	POL	2353479138
FIN	PRT	226963251
FIN	RUS	4357464281
FIN	SAU	350540415
FIN	SVK	195307064
FIN	SVN	89863687
FIN	SWE	8339731096
FIN	TUR	1112753778
FIN	USA	5396673275
FIN	ZAF	429647704
FRA	AUS	3525115430
FRA	AUT	5615843597
FRA	BEL	48714619735
FRA	CAN	4302928392
FRA	CZE	6226292039
FRA	DNK	4229142631
FRA	FIN	1916686547
FRA	DEU	84526932138
FRA	GRC	3909561238
FRA	HUN	4635048109
FRA	ISL	316944793
FRA	IRL	6837075770
FRA	ITA	56583360802
FRA	JPN	6703684808
FRA	KOR	6166475573
FRA	LUX	3383595738
FRA	MEX	3772701419
FRA	NLD	25759996547
FRA	NZL	560543756
FRA	NOR	1863179159
FRA	POL	14590123390
FRA	PRT	6986276671
FRA	SVK	3421512120
FRA	ESP	46717561042
FRA	SWE	6546634301
FRA	CHE	21666985283
FRA	TUR	9712728704
FRA	GBR	35193935115
FRA	USA	49101811912
FRA	ARG	960167534
FRA	BRA	4230182155
FRA	CHL	1379530404
FRA	CHN	24902915678
FRA	EST	481924317
FRA	IND	6199311338
FRA	IDN	905084501
FRA	ISR	2192397674
FRA	RUS	3304683054
FRA	SAU	4058510986
FRA	SVN	1466592871
FRA	ZAF	1889154058
GBR	ARG	492457996
GBR	AUS	5809698547
GBR	AUT	2411194926
GBR	BEL	19967802248
GBR	BRA	2516469148
GBR	CAN	7027612374
GBR	CHE	39511427317
GBR	CHL	665778011
GBR	CHN	20891844002
GBR	CZE	2443119790
GBR	DEU	40994581258
GBR	DNK	3362388054
GBR	ESP	11201877875
GBR	EST	335436498
GBR	FIN	1343313606
GBR	FRA	26371566407
GBR	GRC	984098238
GBR	HUN	1675247009
GBR	IDN	943451386
GBR	IND	6066824250
GBR	IRL	29098711250
GBR	ISL	408589077
GBR	ISR	1857675218
GBR	ITA	12188894893
GBR	JPN	7577630153
GBR	KOR	6450456520
GBR	LUX	733507968
GBR	MEX	1421670637
GBR	NLD	36987406940
GBR	NOR	4184952691
GBR	NZL	1147876497
GBR	POL	5534174265
GBR	PRT	1658460313
GBR	RUS	3816857350
GBR	SAU	4138034492
GBR	SVK	1290587898
GBR	SVN	339058124
GBR	SWE	6071651433
GBR	TUR	6270792936
GBR	USA	59903654882
GBR	ZAF	1987680856
GRC	ARG	19540218
GRC	AUS	251553038
GRC	AUT	473123147
GRC	BEL	549963622
GRC	BRA	83288730
GRC	CAN	233094005
GRC	CHE	219183761
GRC	CHL	29665624
GRC	CHN	847189136
GRC	CZE	381744258
GRC	DEU	3376867043
GRC	DNK	258281254
GRC	ESP	1386110261
GRC	EST	31252351
GRC	FIN	204746869
GRC	FRA	2195010368
GRC	GBR	1542792857
GRC	HUN	392450084
GRC	IDN	63184402
GRC	IND	158409499
GRC	IRL	217932838
GRC	ISL	4918597
GRC	ISR	647787983
GRC	ITA	4613833512
GRC	JPN	293018575
GRC	KOR	1084076473
GRC	LUX	33638677
GRC	MEX	162894730
GRC	NLD	1047833070
GRC	NOR	95097450
GRC	NZL	35569135
GRC	POL	857616310
GRC	PRT	298109766
GRC	RUS	243379099
GRC	SAU	722374846
GRC	SVK	193507669
GRC	SVN	476683232
GRC	SWE	270627091
GRC	TUR	2424556959
GRC	USA	1920501294
GRC	ZAF	88042575
HUN	ARG	206711789
HUN	AUS	488757835
HUN	AUT	6403971611
HUN	BEL	2928254561
HUN	BRA	254286695
HUN	CAN	285643444
HUN	CHE	1427178708
HUN	CHL	74877919
HUN	CHN	2475922648
HUN	CZE	5852265124
HUN	DEU	37602910253
HUN	DNK	845550301
HUN	ESP	3696865484
HUN	EST	135452527
HUN	FIN	513571405
HUN	FRA	5905251018
HUN	GBR	4423533372
HUN	GRC	664566494
HUN	IDN	38665447
HUN	IND	379449605
HUN	IRL	417106515
HUN	ISL	10825577
HUN	ISR	398708319
HUN	ITA	8243003172
HUN	JPN	825306768
HUN	KOR	599249761
HUN	LUX	163246985
HUN	MEX	865578418
HUN	NLD	4677310046
HUN	NOR	269637764
HUN	NZL	67089139
HUN	POL	6047032867
HUN	PRT	703705513
HUN	RUS	2067579664
HUN	SAU	145413863
HUN	SVK	7312637072
HUN	SVN	1598032396
HUN	SWE	2114197505
HUN	TUR	2463794312
HUN	USA	4143667681
HUN	ZAF	223992292
IRL	ARG	96058418
IRL	AUS	990118228
IRL	AUT	409272538
IRL	BEL	16001175654
IRL	BRA	422129257
IRL	CAN	1560514266
IRL	CHE	3341413056
IRL	CHL	85069948
IRL	CHN	13235880071
IRL	CZE	761041077
IRL	DEU	21045759146
IRL	DNK	653102997
IRL	ESP	2749361727
IRL	EST	86312128
IRL	FIN	376603497
IRL	FRA	6322601578
IRL	GBR	21479170889
IRL	GRC	1312355481
IRL	HUN	401162023
IRL	IDN	74861066
IRL	IND	617311588
IRL	ISL	83530269
IRL	ISR	970695342
IRL	ITA	5184624697
IRL	JPN	3217386517
IRL	KOR	806998096
IRL	LUX	96746353
IRL	MEX	2393168060
IRL	NLD	11099305531
IRL	NOR	923219799
IRL	NZL	103714864
IRL	POL	1657456380
IRL	PRT	755217446
IRL	RUS	737607891
IRL	SAU	807894919
IRL	SVK	152939114
IRL	SVN	239254007
IRL	SWE	1023208136
IRL	TUR	848853114
IRL	USA	62168626183
IRL	ZAF	449242735
ISL	AUS	19588796
ISL	AUT	2282124
ISL	BEL	90612663
ISL	BRA	13167074
ISL	CAN	111257971
ISL	CHE	22422367
ISL	CHL	7296040
ISL	CHN	130651238
ISL	CZE	2702477
ISL	DEU	360405726
ISL	DNK	146376676
ISL	ESP	703508857
ISL	EST	2450972
ISL	FIN	16794714
ISL	FRA	479778655
ISL	GBR	572632026
ISL	GRC	7411474
ISL	HUN	42699425
ISL	IDN	8865427
ISL	IND	9415746
ISL	IRL	50135129
ISL	ISR	1418345
ISL	ITA	37295524
ISL	JPN	102389537
ISL	KOR	17824028
ISL	LUX	688352
ISL	MEX	1770632
ISL	NLD	1623272257
ISL	NOR	192520973
