source,target,interaction,directed
Belo,The_Dallas_Morning_News,owns,TRUE
Belo,Providence_Journal_Bulletin,owns,TRUE
Belo,The_Press_Enterprise_,owns,TRUE
Belo,Messenger_Inquirer_,owns,TRUE
Belo,The_Eagle_,owns,TRUE
Belo,The_Gleaner_,owns,TRUE
Belo,Denton_Publishing_Company_,owns,TRUE
Denton_Publishing_Company_,Denton_Record_Chronicle,owns,TRUE
Denton_Publishing_Company_,Lewisville_News,owns,TRUE
Denton_Publishing_Company_,Grapevine_Sun,owns,TRUE
Belo,Dallas_Mavericks,owns,TRUE
AT_T,AT_T_WorldNet,owns,TRUE
AT_T,ACC,owns,TRUE
AT_T,AT_T_Canada,owns,TRUE
AT_T,AT_T_Communications,owns,TRUE
AT_T,AT_T_Global_Communications_Services,owns,TRUE
AT_T,AT_T_Global_Network_Services,owns,TRUE
AT_T,AT_T_Istel,owns,TRUE
AT_T,AT_T_Latin_America,owns,TRUE
AT_T,AT_T_Solutions,owns,TRUE
AT_T,AT_T_Wireless_Services,owns,TRUE
AT_T,Concert,owns,TRUE
AT_T,Liberty_Media,owns,TRUE
AT_T,LIN_Broadcasting,owns,TRUE
AT_T,Teleport_Communications_Group,owns,TRUE
AT_T,AT_T_Cable_Services,owns,TRUE
AT_T,Net2Phone,owns,TRUE
AT_T,GRC_International,owns,TRUE
Liberty_Media,Discovery_Communications,owns,TRUE
BET_Holdings_II,BET_on_Jazz,owns,TRUE
BET_Holdings_II,BET_Action_Pay_Per_View,owns,TRUE
BET_Holdings_II,BET_Gospel,owns,TRUE
BET_Holdings_II,BET_International,owns,TRUE
Liberty_Media,Starz_Encore_Group,owns,TRUE
Liberty_Media,Canales,owns,TRUE
Liberty_Media,Corus_Entertainment,owns,TRUE
Liberty_Media,Emmis_Communications,owns,TRUE
Liberty_Media,E_Entertainment_Television,owns,TRUE
BET_Holdings_II,BET_Weekend,owns,TRUE
BET_Holdings_II,Emerge,owns,TRUE
BET_Holdings_II,Heart_Soul,owns,TRUE
BET_Holdings_II,Honey,owns,TRUE
BET_Holdings_II,IMPACT,owns,TRUE
Liberty_Media,Gemstar_TV_Guide_International,owns,TRUE
Liberty_Media,International_Channel,owns,TRUE
Liberty_Media,Jupiter_Programming,owns,TRUE
Liberty_Media,MacNeil_Lehrer_Productions,owns,TRUE
Liberty_Media,MultiThematiques,owns,TRUE
Liberty_Media,Pramer,owns,TRUE
Liberty_Media,The_Premium_Movie_Partnership,owns,TRUE
Liberty_Media,Telemundo_Network,owns,TRUE
Liberty_Media,Telemundo_Station_Group,owns,TRUE
Liberty_Media,Torneos_y_Competencias,owns,TRUE
Liberty_Media,Court_TV,owns,TRUE
Liberty_Media,Cablevision_S_A_,owns,TRUE
Liberty_Media,Sky_Latin_America,owns,TRUE
Liberty_Media,Jupiter_Telecommunications_Co_,owns,TRUE
AT_T_Broadband,TCI_Cablevision_of_Puerto_Rico,owns,TRUE
Liberty_Media,General_Instrument,owns,TRUE
Liberty_Media,Princes_Holdings,owns,TRUE
Liberty_Media,IDT,owns,TRUE
Liberty_Media,Liberty_Cablevision_of_Puerto_Rico,owns,TRUE
Liberty_Media,Teligent,owns,TRUE
Liberty_Media,Style,owns,TRUE
Liberty_Media,Challenge_TV,owns,TRUE
Liberty_Media,HSN_Direct,owns,TRUE
Liberty_Media,KinderNet,owns,TRUE
Liberty_Media,Living,owns,TRUE
Liberty_Media,SMG,owns,TRUE
Liberty_Media,Trouble,owns,TRUE
Liberty_Media,TV_Travel_Shop,owns,TRUE
Liberty_Media,UK_Arena_,owns,TRUE
Liberty_Media,UK_Gold_,owns,TRUE
Liberty_Media,UK_Gold_Classics_,owns,TRUE
Liberty_Media,UK_Horizons_,owns,TRUE
Liberty_Media,UK_Style_,owns,TRUE
Liberty_Media,UK_Play_,owns,TRUE
Liberty_Media,Fox_Kids_Worldwide,owns,TRUE
Liberty_Media,Cable_Soft_Network,owns,TRUE
Liberty_Media,CNBC_Asia,owns,TRUE
Liberty_Media,Golf_Network,owns,TRUE
Liberty_Media,J_Sports,owns,TRUE
Liberty_Media,The_Shop_Channel,owns,TRUE
Liberty_Media,Discovery_Japan,owns,TRUE
MultiThematiques,Canal_Jimmy_,owns,TRUE
MultiThematiques,Canal_Jimmy_,owns,TRUE
MultiThematiques,Cine_Cinemas_,owns,TRUE
MultiThematiques,Cine_Cinemas_,owns,TRUE
MultiThematiques,Cine_Classics_,owns,TRUE
Liberty_Media,Cine_Classics_,owns,TRUE
MultiThematiques,Cine_Classics_,owns,TRUE
MultiThematiques,Forum_Planete_,owns,TRUE
MultiThematiques,Planete_,owns,TRUE
MultiThematiques,Planete_,owns,TRUE
MultiThematiques,Planete_,owns,TRUE
MultiThematiques,Planete_,owns,TRUE
MultiThematiques,Seasons_,owns,TRUE
MultiThematiques,Seasons_,owns,TRUE
MultiThematiques,Seasons_,owns,TRUE
MultiThematiques,Seasons_,owns,TRUE
Liberty_Media,Odyssey,owns,TRUE
Liberty_Media,News,owns,TRUE
Pramer,America_Sports,owns,TRUE
Pramer,Big_Channel,owns,TRUE
Pramer,Canal_a,owns,TRUE
Pramer,Cineplaneta,owns,TRUE
Pramer,CV_SAT,owns,TRUE
Pramer,Ideas,owns,TRUE
Pramer,Magic_Kids,owns,TRUE
Pramer,P_E,owns,TRUE
Liberty_Media,The_Television_Games_Network,owns,TRUE
Liberty_Media,HOT_,owns,TRUE
USA_Networks,Shop_Channel_,owns,TRUE
AT_T,Academic_Systems,owns,TRUE
Washington_Post,ACTV,owns,TRUE
AT_T,ACTV,owns,TRUE
AT_T,Digital_Health_Group,owns,TRUE
AT_T,DMX,owns,TRUE
AT_T,drugstore_com,owns,TRUE
AT_T,HomeGrocer_com,owns,TRUE
AT_T,iBeam_Broadcasting,owns,TRUE
AT_T,Interactive_Pictures,owns,TRUE
AT_T,KPCB_Java_Fund_L_P_,owns,TRUE
AT_T,The_Lightspan_Partnership,owns,TRUE
AT_T,priceline_com,owns,TRUE
AT_T,Quokka_Sports,owns,TRUE
AT_T,Sportsline_USA,owns,TRUE
AT_T,MTVN_Online,owns,TRUE
AT_T,TiVo,owns,TRUE
AT_T,Total_Entertainment_Network,owns,TRUE
AT_T,Bresnan_International_Partners_,owns,TRUE
AT_T,Metropolis_Intercom_S_A_,owns,TRUE
Liberty_Media,QVC,owns,TRUE
Comcast,QVC,owns,TRUE
QVC,QVC_Network,owns,TRUE
QVC,QVC_The_Shopping_Network_,owns,TRUE
QVC,QVC_Germany,owns,TRUE
QVC,iQVC,owns,TRUE
Vivendi_Universal,USA_Networks,owns,TRUE
USA_Networks,USA_Network,owns,TRUE
USA_Networks,USA_Electronic_Retailing,owns,TRUE
USA_Networks,USA_Entertainment,owns,TRUE
USA_Networks,USA_Information_and_Services,owns,TRUE
USA_Electronic_Retailing,HSN_International,owns,TRUE
USA_Electronic_Retailing,Home_Shopping_Network_,owns,TRUE
HSN_International,Home_Order_Television,owns,TRUE
HSN_International,Home_Shopping_in_Espanol,owns,TRUE
HSN_International,Jupiter_Shop_Channel,owns,TRUE
USA_Electronic_Retailing,Internet_Shopping_Network,owns,TRUE
Internet_Shopping_Network,FirstAuction_com,owns,TRUE
Internet_Shopping_Network,FirstJewelry_com,owns,TRUE
Internet_Shopping_Network,HSN_com,owns,TRUE
USA_Entertainment,Sci_Fi_Channel,owns,TRUE
USA_Entertainment,SciFi_com,owns,TRUE
SciFi_com,Mothership_com,owns,TRUE
SciFi_com,Centropolis_com,owns,TRUE
USA_Entertainment,Studios_USA,owns,TRUE
USA_Entertainment,USA_Broadcasting,owns,TRUE
USA_Entertainment,USA_Films,owns,TRUE
USA_Entertainment,Sci_Fi_Europe,owns,TRUE
USA_Information_and_Services,Ticketmaster,owns,TRUE
USA_Information_and_Services,Ticketmaster_Online_CitySearch,owns,TRUE
USA_Information_and_Services,Hotel_Reservations_Network,owns,TRUE
USA_Information_and_Services,USA_eSolutions_and_USA_Fulfillment_Services,owns,TRUE
USA_Information_and_Services,Precision_Response,owns,TRUE
USA_Information_and_Services,Styleclick_com,owns,TRUE
USA_Networks,KHSC_TV_Los_Angeles,owns,TRUE
USA_Networks,KHSH_TV_Houston,owns,TRUE
USA_Networks,KSTR_TV_Dallas,owns,TRUE
USA_Networks,WAMI_TV_Miami,owns,TRUE
USA_Networks,WBHS_TV_Tampa_St_Petersburg,owns,TRUE
USA_Networks,WBSF_TV_Orlando,owns,TRUE
USA_Networks,WEHS_TV_Chicago,owns,TRUE
USA_Networks,WHOT_TV_Atlanta,owns,TRUE
USA_Networks,WHSE_TV_New_York_City,owns,TRUE
USA_Networks,WHSH_TV_Boston,owns,TRUE
USA_Networks,WHSI_TV_New_York_City,owns,TRUE
USA_Networks,WHSP_TV_Philadelphia,owns,TRUE
USA_Networks,WQHS_TV_Cleveland,owns,TRUE
Discovery_Networks_International,Animal_Planet_Brasil,owns,TRUE
Discovery_Networks_International,Discovery_Australia_New_Zealand,owns,TRUE
Discovery_Networks_International,Discovery_Brasil,owns,TRUE
Discovery_Networks_International,Discovery_Canada,owns,TRUE
Discovery_Networks_International,Discovery_Channel_Middle_East,owns,TRUE
Discovery_Networks_International,Discovery_Espana_,owns,TRUE
Discovery_Networks_US,Animal_Planet,owns,TRUE
Discovery_Networks_US,Travel_Channel,owns,TRUE
Discovery_Networks_US,The_Learning_Channel,owns,TRUE
Discovery_Networks_US,Discovery_Channel,owns,TRUE
Discovery_Networks_International,Animal_Planet_Asia,owns,TRUE
Discovery_Networks_International,Animal_Planet_Europe,owns,TRUE
Discovery_Networks_International,Animal_Planet_Latin_America,owns,TRUE
Discovery_Networks_International,Discovery_Asia,owns,TRUE
Discovery_Networks_International,Discovery_India,owns,TRUE
Discovery_Networks_International,Discovery_Japan,owns,TRUE
Discovery_Networks_International,Discovery_Europe,owns,TRUE
Discovery_Networks_International,Discovery_Turkey,owns,TRUE
Discovery_Networks_International,Discovery_Germany,owns,TRUE
Discovery_Networks_International,Discovery_Italy_Africa,owns,TRUE
Discovery_Networks_International,Discovery_Latin_America,owns,TRUE
Discovery_Networks_International,Discovery_Latin_America_Kids_Network,owns,TRUE
Discovery_Communications,Discovery_Digital_Services,owns,TRUE
Discovery_Networks_US,Discovery_Civilization,owns,TRUE
Discovery_Networks_US,Discovery_Health,owns,TRUE
Discovery_Networks_US,Discovery_Home_Leisure,owns,TRUE
Discovery_Networks_US,Discovery_Kids,owns,TRUE
Discovery_Networks_US,Discovery_Wings,owns,TRUE
Discovery_Networks_US,Discovery_en_Espanol,owns,TRUE
Discovery_Networks_US,Discovery_People,owns,TRUE
Discovery_Communications,Discovery_Networks_US,owns,TRUE
Discovery_Communications,Discovery_Networks_International,owns,TRUE
Discovery_Networks_International,Discovery_Home_Leisure_UK,owns,TRUE
Discovery_Enterprises_Worldwide,Discovery_Channel_Education,owns,TRUE
Discovery_Enterprises_Worldwide,Discovery_Channel_Interactive_Media,owns,TRUE
Discovery_Enterprises_Worldwide,Discovery_Channel_Publishing,owns,TRUE
Discovery_Enterprises_Worldwide,Discovery_Channel_Retail,owns,TRUE
Discovery_Enterprises_Worldwide,Discovery_Channel_Video,owns,TRUE
Discovery_Enterprises_Worldwide,Discovery_com,owns,TRUE
Discovery_Networks_International,People_Arts_,owns,TRUE
Discovery_Communications,Discovery_Channel_Online,owns,TRUE
Starz_Encore_Group,STARZ_,owns,TRUE
Starz_Encore_Group,Encore,owns,TRUE
Starz_Encore_Group,MOVIEplex,owns,TRUE
Starz_Encore_Group,Love_Stories,owns,TRUE
Starz_Encore_Group,Westerns,owns,TRUE
Starz_Encore_Group,Mystery,owns,TRUE
Starz_Encore_Group,Action,owns,TRUE
Starz_Encore_Group,True_Stories,owns,TRUE
Starz_Encore_Group,WAM_America_s_Kidz_Network,owns,TRUE
Starz_Encore_Group,STARZ_Theater,owns,TRUE
Starz_Encore_Group,STARZ_Family,owns,TRUE
Liberty_Media,iVillage,owns,TRUE
Liberty_Media,Antec,owns,TRUE
Liberty_Media,PRIMEDIA,owns,TRUE
Liberty_Media,Telewest_Communications_plc,owns,TRUE
Gemstar_TV_Guide_International,TV_Guide_Interactive,owns,TRUE
Liberty_Media,TV_Guide_Sneak_Prevue,owns,TRUE
Gemstar_TV_Guide_International,UVTV,owns,TRUE
Liberty_Media,Superstar,owns,TRUE
Gemstar_TV_Guide_International,TV_Guide_Magazine,owns,TRUE
Gemstar_TV_Guide_International,TV_Guide_Online,owns,TRUE
AOL_Time_Warner,TiVo,owns,TRUE
Rainbow_Media_Holdings,Regional_Programming_Partners,owns,TRUE
Fox_Entertainment,Regional_Programming_Partners,owns,TRUE
Madison_Square_Garden_Network,MSG_Metro_Learning,owns,TRUE
Madison_Square_Garden_Network,MSG_Metro_Guide,owns,TRUE
Madison_Square_Garden_Network,MSG_Metro_Traffic_and_Weather,owns,TRUE
Cablevision,Radio_City_Productions,owns,TRUE
Cablevision,New_York_Knicks,owns,TRUE
Cablevision,New_York_Rangers,owns,TRUE
Cablevision,New_York_Liberty_,owns,TRUE
Cablevision,New_England_Seawolves,owns,TRUE
Cablevision,Hartford_Wolf_Pack,owns,TRUE
Cablevision,Radio_City_Music_Hall,owns,TRUE
Cablevision,Nobody_Beats_the_Wiz,owns,TRUE
Cablevision,EZSeek,owns,TRUE
Cablevision,Rainbow_Media_Holdings,owns,TRUE
CNBC,Rainbow_Media_Holdings,owns,TRUE
Rainbow_Media_Holdings,American_Movie_Classics,owns,TRUE
Rainbow_Media_Holdings,Independent_Film_Channel,owns,TRUE
National_Broadcasting_Corporation_,NBC_Network,owns,TRUE
AOL_Time_Warner,America_Online_,owns,TRUE
America_Online_,CompuServe_Interactive_Services,owns,TRUE
America_Online_,AOL_Instant_Messenger,owns,TRUE
America_Online_,AOL_com_portal,owns,TRUE
America_Online_,Digital_City,owns,TRUE
America_Online_,ICQ,owns,TRUE
America_Online_,The_Knot,owns,TRUE
QVC,The_Knot,owns,TRUE
America_Online_,Spinner_com,owns,TRUE
America_Online_,DrKoop_com,owns,TRUE
America_Online_,Nullsoft,owns,TRUE
America_Online_,Netscape_Communications,owns,TRUE
America_Online_,Netscape_Netcenter_portal,owns,TRUE
America_Online_,AOL_MovieFone,owns,TRUE
America_Online_,iAmaze,owns,TRUE
America_Online_,Quack_com,owns,TRUE
Time_Warner,Time_Life_Books,owns,TRUE
Time_Life_Books,Time_Life_International,owns,TRUE
Time_Life_Books,Time_Life_Education,owns,TRUE
Time_Life_Books,Time_Life_Music,owns,TRUE
Time_Life_Books,Time_Life_AudioBooks,owns,TRUE
Time_Warner,Book_of_the_Month_Club,owns,TRUE
Time_Warner,Paperback_Book_Club,owns,TRUE
Time_Warner,Children_s_Book_of_the_Month_Club,owns,TRUE
Time_Warner,History_Book_Club,owns,TRUE
Time_Warner,Money_Book_Club,owns,TRUE
Time_Warner,HomeStyle_Books,owns,TRUE
Time_Warner,Crafter_s_Choice,owns,TRUE
Time_Warner,One_Spirit,owns,TRUE
Time_Warner,International,owns,TRUE
Time_Warner,Little_Brown_and,owns,TRUE
Time_Warner,Bulfinch_Press,owns,TRUE
Time_Warner,Back_Bay_Books,owns,TRUE
Time_Warner,Little_Brown_and_Company_,owns,TRUE
Time_Warner,Warner_Books,owns,TRUE
Time_Warner,Warner_Vision,owns,TRUE
Time_Warner,The_Mysterious_Press,owns,TRUE
Time_Warner,Warner_Aspect,owns,TRUE
Time_Warner,Warner_Treasures,owns,TRUE
Time_Warner,Leisure_Arts,owns,TRUE
Time_Warner,Sunset_Books,owns,TRUE
Time_Warner,TW_Kids,owns,TRUE
Home_Box_Office_,HBO_Home_Video,owns,TRUE
Comedy_Central,HBO_Pictures_HBO_Showcase,owns,TRUE
CNN,HBO_Independent_Productions,owns,TRUE
CNN_SI,HBO_NYC_Productions,owns,TRUE
CNN_International,HBO_Animation,owns,TRUE
CNN_en_Espanol,HBO_Sports,owns,TRUE
CNN_Airport_Network,Time_Warner_Sports,owns,TRUE
CNN_fn,HBO_en_Espa_ol,owns,TRUE
CNN_Radio,HBO_Hungary,owns,TRUE
CNN_Interactive,Cinemax_Selecciones,owns,TRUE
Time_Warner_Cable,HBO_Direct_,owns,TRUE
Time_Warner,Comedy_Central,owns,TRUE
Time_Warner,CNN,owns,TRUE
Time_Warner,CNN_SI,owns,TRUE
Time_Warner,CNN_International,owns,TRUE
Time_Warner,CNN_en_Espanol,owns,TRUE
Time_Warner,CNN_Headline_News,owns,TRUE
Time_Warner,CNN_Airport_Network,owns,TRUE
Time_Warner,CNN_fn,owns,TRUE
Time_Warner,CNN_Radio,owns,TRUE
Time_Warner,CNN_Interactive,owns,TRUE
Time_Warner,Court_TV,owns,TRUE
Time_Warner,Time_Warner_Cable,owns,TRUE
Time_Warner,Time_Warner_Communications,owns,TRUE
Time_Warner,New_York_City_Cable_Group,owns,TRUE
Time_Warner,New_York_1_News,owns,TRUE
Time_Warner,Time_Warner_Home_Theater,owns,TRUE
Time_Warner,Time_Warner_Security,owns,TRUE
Time_Warner,Kablevision,owns,TRUE
Time_Warner,Warner_Channel,owns,TRUE
Time_Warner,WB_Network,owns,TRUE
Time_Warner,Warner_Bros_,owns,TRUE
Time_Warner,Warner_Bros_Studios,owns,TRUE
Time_Warner,Warner_Bros_Television,owns,TRUE
Time_Warner,Warner_Bros_Television_Animation,owns,TRUE
Time_Warner,Hanna_Barbera_Cartoons,owns,TRUE
Time_Warner,Telepictures_Production,owns,TRUE
Time_Warner,Witt_Thomas_Productions,owns,TRUE
Time_Warner,Castle_Rock_Entertainment,owns,TRUE
Time_Warner,Warner_Home_Video,owns,TRUE
Time_Warner,Warner_Bros_Domestic_Pay_TV,owns,TRUE
Time_Warner,Warner_Bros_Domestic_Television_Distribution,owns,TRUE
Time_Warner,Warner_Bros_International_Television_Distribution,owns,TRUE
Time_Warner,Warner_Bros_International_Theaters,owns,TRUE
Time_Warner,Time,owns,TRUE
Time,Time_Asia,owns,TRUE
Time,Time_Atlantic,owns,TRUE
Time,Time_Canada,owns,TRUE
Time,Time_Latin_America,owns,TRUE
Time,Time_South_Pacific,owns,TRUE
Time,Time_Money,owns,TRUE
Time,Time_For_Kids,owns,TRUE
Time,Fortune,owns,TRUE
Time,Life,owns,TRUE
Time,Sports_Illustrated,owns,TRUE
Sports_Illustrated,Sports_Illustrated_Women_Sport,owns,TRUE
Sports_Illustrated,Sports_Illustrated_International,owns,TRUE
Sports_Illustrated,SI_for_Kids,owns,TRUE
Time,Inside_Stuff,owns,TRUE
Time,Money,owns,TRUE
Money,Your,owns,TRUE
Money,Your_Future,owns,TRUE
Time_Warner,People,owns,TRUE
People,Who_Weekly,owns,TRUE
People,People_en_Espa_ol,owns,TRUE
People,Teen_People,owns,TRUE
Time_Warner,Entertainment_Weekly,owns,TRUE
Entertainment_Weekly,EW_Metro,owns,TRUE
Time_Warner,The_Ticket,owns,TRUE
Time_Warner,In_Style,owns,TRUE
Time_Warner,Southern_Living,owns,TRUE
Time_Warner,Progressive_Farmer,owns,TRUE
Time_Warner,Southern_Accents,owns,TRUE
Time_Warner,Cooking_Light,owns,TRUE
Time_Warner,The_Parent_Group,owns,TRUE
The_Parent_Group,Parenting,owns,TRUE
The_Parent_Group,Baby_Talk,owns,TRUE
The_Parent_Group,Baby_on_the_Way,owns,TRUE
Time_Warner,This_Old_House,owns,TRUE
Time_Warner,Sunset,owns,TRUE
Time_Warner,Sunset_Garden_Guide,owns,TRUE
Time_Warner,The_Health_Publishing_Group,owns,TRUE
The_Health_Publishing_Group,Health,owns,TRUE
The_Health_Publishing_Group,Hippocrates,owns,TRUE
The_Health_Publishing_Group,Coastal_Living,owns,TRUE
The_Health_Publishing_Group,Weight_Watchers,owns,TRUE
Time_Warner,Field_Stream,owns,TRUE
Time_Warner,Golf_Magazine,owns,TRUE
Time_Warner,Outdoor_Life,owns,TRUE
Time_Warner,Popular_Science,owns,TRUE
Time_Warner,Salt_Water_Sportsman,owns,TRUE
Time_Warner,Ski,owns,TRUE
Time_Warner,Skiing_Magazine,owns,TRUE
Time_Warner,Skiing_Trade_News,owns,TRUE
Time_Warner,SNAP,owns,TRUE
Time_Warner,Snowboard_Life,owns,TRUE
Time_Warner,Ride_BMX,owns,TRUE
Time_Warner,Today_s_Homeowner,owns,TRUE
Time_Warner,TransWorld_Skateboarding,owns,TRUE
Time_Warner,TransWorld_Snowboarding,owns,TRUE
Time_Warner,Verge,owns,TRUE
Time_Warner,Yachting_Magazine,owns,TRUE
Time_Warner,Warp,owns,TRUE
Time_Warner,Real_Simple,owns,TRUE
Time_Warner,Asiaweek,owns,TRUE
Time_Warner,President,owns,TRUE
Time_Warner,Dancyu,owns,TRUE
Time_Warner,Wallpaper,owns,TRUE
Time_Warner,eCompany_Now,owns,TRUE
Time_Warner,DC_Comics,owns,TRUE
Time_Warner,Vertigo,owns,TRUE
Time_Warner,Paradox,owns,TRUE
Time_Warner,Milestone,owns,TRUE
Time_Warner,Mad_Magazine,owns,TRUE
Time_Warner,Warner_Music_Group,owns,TRUE
Warner_Music_Group,The_Atlantic_Group,owns,TRUE
Warner_Music_Group,Atlantic_Classics,owns,TRUE
Warner_Music_Group,Atlantic_Jazz,owns,TRUE
Warner_Music_Group,Atlantic_Nashville,owns,TRUE
Warner_Music_Group,Atlantic_Theater,owns,TRUE
Warner_Music_Group,Big_Beat,owns,TRUE
Warner_Music_Group,Blackground,owns,TRUE
Warner_Music_Group,Breaking,owns,TRUE
