	Australia	Austria	Belgium	Canada	Chile	Czech Republic	Denmark	Estonia	Finland	France	Germany	Greece	Hungary	Iceland	Ireland	Israel	Italy	Japan	Korea, Republic of	Latvia	Lithuania	Luxembourg	Mexico	Netherlands	New Zealand	Norway	Poland	Portugal	Slovak Republic	Slovenia	Spain	Sweden	Switzerland	Turkey	United Kingdom	United States
Latvia	29.47469	82.243703	180.206137	25.257983	7.475342	183.376623	657.865842	1669.399884	352.395751	264.480861	1043.284933	22.269949	76.867109	36.395574	61.743312	43.795871	238.623306	61.330846	73.492716		2339.890568	9.305445	9.863282	341.814683	11.268839	341.046215	604.927449	24.977099	74.725977	21.505118	184.865708	1079.309799	78.690252	158.329774	842.80918	609.332151
Lithuania	72.579075	174.165534	514.053218	55.322244	14.900891	356.153757	833.900931	1639.177099	589.407975	836.971676	2460.229761	57.619806	268.92586	51.191815	129.659863	56.58627	727.062356	363.809294	88.67107	3267.547664		17.089035	29.886596	1121.878312	13.842087	931.538465	2749.181271	99.061583	126.389367	52.095364	364.528244	1621.383924	179.499025	272.040348	1272.893063	1675.460772
Luxembourg	22.260705	340.270005	2391.486984	102.238555	9.53902	233.453169	127.271516	10.92199	62.996599	2361.913551	4413.108922	30.926485	86.984877	3.743379	92.656569	22.300905	642.587604	92.192661	56.784425	7.358283	25.763397		85.779999	923.367955	5.158144	70.793703	420.243715	82.648211	65.768978	40.836979	394.021828	235.663272	214.772038	193.993737	542.370755	440.529852
Mexico	1238.448	231.795	2113.027	14079.76	2074.113	304.972	177.311	12.621	155.739	1762.8	7071.487	41.763	240.216	4.516	335.003	284.103	1782.461	3865.652	4145.156	25.999	47.274	22.591		2660.301	175.959	47.398	309.268	188.258	50.296	40.302	5303.721	125.006	844.014	232.496	2212.562	358285.114
Netherlands	3849.629393	9870.769916	79858.334659	4839.435277	896.801558	12458.626962	8780.449186	1184.448858	6990.885982	61502.134536	173977.556694	3368.318601	6130.766789	927.30081	5626.09515	3351.649492	29830.463722	5046.301497	6507.626871	751.001486	1664.092626	1910.632908	3168.979943		670.899556	5678.369974	17927.75354	5161.066432	2402.31203	1395.686545	22318.671744	16622.732303	8725.353504	7095.3497	59073.186673	31778.208362
New Zealand	6343.085199	31.980404	200.622503	500.634765	126.822075	27.77296	108.187048	3.629865	18.006165	247.857638	597.605413	49.539452	4.943918	1.615951	43.26787	26.310853	221.747778	2423.871663	1209.962467	9.934646	10.699428	0.534312	232.374185	593.48485		31.269737	48.508978	30.461616	6.110599	1.905156	104.007541	59.398297	96.256759	34.9765	1072.92742	3825.043651
Norway	293.051166	264.422283	6299.060617	988.231688	157.183135	245.839724	5685.127451	205.077997	1851.127534	8113.81217	19366.185176	123.389331	135.72093	677.788373	1295.397419	138.044343	1691.43687	1434.412749	1372.213723	124.742697	772.44603	34.2535	156.638895	13537.287542	124.947136		2733.334527	673.816639	58.8596	15.947593	2181.835086	8210.66743	365.368408	733.809731	26137.161937	5612.854949
Poland	659.9887	5122.268027	6081.529475	1400.450908	264.774409	16577.725011	4554.174875	1273.109022	2205.536283	14383.955666	73369.262736	1022.384941	6952.918658	124.595842	1172.746687	690.039066	11983.307837	668.950591	612.705809	1634.445302	3830.914526	485.465624	751.852349	11779.319632	186.726348	3056.133487		1135.393079	6701.266183	1081.103068	6632.320985	7222.225988	2333.256983	2985.858067	16126.709873	7252.60289
Portugal	207.178062	633.388175	1565.90813	404.288667	167.692492	421.81618	492.117032	36.169414	356.738235	8688.289516	7864.144396	213.937262	318.722177	14.734531	370.095719	257.616554	2924.912456	174.928004	140.739367	41.124506	107.996489	129.072754	376.853031	2613.582226	26.887266	201.92579	899.89239		455.428719	110.893517	17361.07649	687.86553	681.022279	519.943034	4340.949747	3400.287136
Slovak Republic	148.340429	5381.740888	1254.017682	369.858571	19.239315	11369.330857	754.305417	121.882575	269.830572	5959.868955	20910.526303	355.934244	5311.057298	22.701425	164.669945	282.458295	5442.450495	121.896399	107.540695	183.200893	204.854683	235.770715	311.864209	2043.505132	35.688678	209.28995	7316.23456	334.11651		704.115554	2685.652094	1274.297412	1408.664325	624.03058	4937.958353	3041.442978
Slovenia	146.602617	3285.899722	419.186811	113.003657	22.354537	1464.835338	392.464806	73.283459	108.203607	2087.441853	8196.969418	105.459587	1994.932167	3.255614	49.520008	136.080086	5126.804708	140.77433	181.86345	39.383374	90.612425	29.155588	105.441003	692.627426	17.003269	114.092006	2026.888694	132.821676	1281.097252		704.570804	423.663385	946.770544	409.234743	709.2302	683.948648
Spain	1900.369421	2845.648402	10116.38176	2101.906257	1800.449547	2941.226767	2153.188442	294.386233	1209.662131	52658.92919	37581.036193	2920.856701	2106.698168	63.822274	1997.635163	1778.143068	26875.098141	2982.628318	2363.924585	272.525155	1486.801159	325.78836	5385.046208	11825.768153	296.097648	1458.445762	7118.183683	25085.92855	1294.731674	860.139419		2744.761426	5253.076166	5848.848956	23191.045356	15094.715912
Sweden	2016.045543	1547.98801	6697.853914	1261.323956	408.764193	1415.996205	11480.675554	1414.464913	11586.129689	7146.330565	18068.280105	407.072702	716.593818	449.747493	719.513814	337.620291	4653.66364	2550.160867	1650.33685	541.815789	1132.608113	117.792858	727.790298	9733.218224	209.41925	17431.314571	5553.264391	797.555141	486.60781	208.16676	3446.579747		1740.238144	1647.560044	9421.399405	11274.840632
Switzerland	2801.124334	7462.858282	5472.870777	3941.933248	330.156387	1758.789721	1012.100283	177.438052	656.878756	19493.912203	47152.841493	813.672029	1024.262854	51.837199	1356.208949	1224.516557	16320.205215	7918.358991	3592.015709	150.818937	143.246546	482.51827	1482.342417	8158.761959	223.459657	749.42301	2743.700832	1022.243905	622.839232	916.811565	6677.582891	1488.591083		2836.549979	10702.947172	40947.258824
Turkey	687.104751	1160.088083	3950.932854	1271.662504	386.205891	1000.774332	1069.691521	91.706369	338.891917	7287.140523	16136.961824	2086.693108	1155.071447	23.862262	754.115949	3894.543859	9560.20227	479.383643	928.982	125.6616	275.695679	66.606028	600.402453	4760.694725	110.153493	512.980902	3346.086752	1108.676016	531.634616	1430.255083	7708.391366	1480.174098	1738.475098		11106.998133	8304.668542
United Kingdom	5851.118681	2688.220676	19108.154267	7289.058875	768.256453	2969.956642	3676.53194	356.128674	1951.595909	31928.798308	47563.252653	1569.591845	1956.416548	427.707851	28306.084141	1455.995278	14027.237552	8315.611448	7773.57445	519.740633	633.730582	320.467017	1994.661012	34598.521422	1197.070631	4560.122303	7067.090962	2123.629776	813.043786	439.203105	13989.277185	7368.177627	25397.92272	9509.245385		65361.687206
United States	25306.451478	3569.042909	31415.752784	298901.050259	15340.120352	3003.63903	2558.913897	346.905822	1872.587309	37361.043352	57653.807554	1047.678173	1751.646038	644.22351	10686.900725	13715.245856	23153.301783	74966.716044	56344.305789	510.373928	707.553374	1025.792879	265010.357329	49390.541239	4067.162136	5457.238702	5413.47102	1463.64013	289.606762	319.473585	12975.520308	4483.024828	22280.037666	10194.019087	66228.171593	
